,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
936,Munna Bhai M.B.B.S.,2003,156,8.1,,74891,
937,Duck Soup,1933,69,7.8,93.0,56080,
938,Celda 211,2009,113,7.6,,64536,
939,Lifeboat,1944,97,7.6,78.0,26834,
940,Hera Pheri,2000,156,8.2,,58177,
941,Sweet Smell of Success,1957,96,8.0,100.0,28755,
942,Vampire Hunter D: Bloodlust,2000,103,7.7,62.0,29686,0.15
943,Hiroshima Mon Amour,1959,90,7.9,,29071,0.09
944,Baby,2015,159,8.0,,53297,
945,The Triplets of Belleville,2003,80,7.8,91.0,51063,7.0
946,The Exterminating Angel,1962,95,8.1,,30229,
947,Nine Queens,2000,114,7.9,80.0,50340,1.22
948,Joint Security Area,2000,110,7.8,58.0,27198,
949,Sanjuro,1962,96,8.1,,33802,
950,Haider,2014,160,8.1,,50936,0.9
951,Badhaai Ho,2018,124,8.0,,28746,
952,Anand,1971,122,8.3,,31412,
953,Barfi!,2012,151,8.1,,76635,2.8
954,Knockin' on Heaven's Door,1997,87,8.0,,28125,0.0
955,The Purple Rose of Cairo,1985,82,7.7,75.0,47683,10.63
956,La Grande Illusion,1937,113,8.1,,34274,0.17
957,Paan Singh Tomar,2012,135,8.2,,33669,0.04
958,Baahubali 2: The Conclusion,2017,167,8.2,,76818,20.19
959,Central Station,1998,110,8.0,80.0,37018,5.6
960,Jab We Met,2007,138,7.9,,48356,0.41
961,Sherlock Jr.,1924,45,8.2,,43434,0.98
962,The Shop Around the Corner,1940,99,8.1,96.0,28948,0.2
963,Uri: The Surgical Strike,2018,138,8.2,,44494,4.19
964,Kind Hearts and Coronets,1949,106,8.0,,34918,
965,Joyeux Noel,2005,116,7.7,70.0,28212,1.05
966,Dilwale Dulhania Le Jayenge,1995,181,8.1,,64267,
967,Elite Squad 2: The Enemy Within,2010,115,8.0,71.0,79908,0.1
968,Tae Guk Gi: The Brotherhood of War,2004,140,8.1,64.0,38098,1.11
969,Udaan,2010,134,8.2,,42792,0.01
970,A Night at the Opera,1935,96,7.9,,30900,2.54
971,Veer-Zaara,2004,192,7.8,67.0,49632,2.92
972,Dev.D,2009,144,8.0,,29034,0.01
973,Le Dîner de Cons,1998,80,7.7,73.0,37907,4.07
974,The Edge of Heaven,2007,122,7.8,85.0,31047,0.74
975,Udta Punjab,2016,148,7.8,,27585,
976,Zelig,1983,79,7.7,,40335,11.8
977,A Wednesday,2008,104,8.1,,74481,
978,Kal Ho Naa Ho,2003,186,7.9,54.0,64172,1.79
979,The Rules of the Game,1939,110,8.0,,27086,
980,English Vinglish,2012,134,7.8,,34023,1.67
981,Raazi,2018,138,7.8,,25972,
982,The Circus,1928,72,8.1,90.0,30849,
983,Airlift,2016,130,8.0,,53304,
984,Chak De! India,2007,153,8.2,68.0,74997,1.11
985,Love and Death,1975,85,7.7,89.0,36541,
986,Black,2005,122,8.2,,33612,0.73
987,Vizontele,2001,110,8.0,,34217,
988,The Muppet Christmas Carol,1992,85,7.7,64.0,50758,27.28
989,C.R.A.Z.Y.,2005,129,7.9,81.0,31636,
990,Bhaag Milkha Bhaag,2013,186,8.2,,61845,1.63
991,Sholay,1975,162,8.2,,51890,
992,OMG: Oh My God!,2012,125,8.1,,52526,0.92
993,The Breath,2009,128,8.0,,32194,
994,Vicky Donor,2012,126,7.8,,40122,0.17
995,Kai Po Che,2013,120,7.7,40.0,33174,1.12
996,M.S. Dhoni: The Untold Story,2016,184,7.8,,41501,1.78
997,Special 26,2013,144,8.0,,51633,1.08
998,Andaz Apna Apna,1994,160,8.2,,49784,
999,Lage Raho Munna Bhai,2006,144,8.0,,43623,2.22
