,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
186,Argo,2012,120,7.7,86.0,580113,136.03
187,Her,2013,126,8.0,90.0,551536,25.57
188,Ratatouille,2007,111,8.0,96.0,652068,206.45
189,Trainspotting,1996,93,8.1,83.0,642260,16.5
190,City of God,2002,130,8.6,79.0,707952,7.56
191,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65.0,488271,295.98
192,The Notebook,2004,123,7.8,53.0,528521,81.0
193,Mission: Impossible - Fallout,2018,147,7.7,86.0,297867,220.16
194,Casino,1995,178,8.2,73.0,474681,42.44
195,Singin' in the Rain,1952,103,8.3,99.0,222545,8.82
196,Logan,2017,137,8.1,77.0,662951,226.28
197,L.A. Confidential,1997,138,8.2,90.0,539296,64.62
198,Spotlight,2015,129,8.1,93.0,429322,45.06
199,The Wizard of Oz,1939,102,8.0,92.0,373957,2.08
200,Apocalypto,2006,139,7.8,68.0,294422,50.87
201,Terminator 2: Judgment Day,1991,137,8.5,75.0,1008389,204.84
202,The Intouchables,2011,112,8.5,57.0,775995,13.18
203,Training Day,2001,122,7.7,69.0,398664,76.63
204,About Time,2013,123,7.8,55.0,312009,15.32
205,Reservoir Dogs,1992,99,8.3,79.0,933153,2.83
206,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82.0,562511,249.36
207,Ferris Bueller's Day Off,1986,103,7.8,61.0,325639,70.14
208,12 Years a Slave,2013,134,8.1,96.0,650815,56.67
209,The Incredibles,2004,115,8.0,90.0,665525,261.44
210,Psycho,1960,109,8.5,97.0,613918,32.0
211,Saw,2004,103,7.6,46.0,383850,56.0
212,A Beautiful Mind,2001,135,8.2,72.0,862225,170.74
213,Catch Me If You Can,2002,141,8.1,75.0,852601,164.62
214,The Hangover,2009,100,7.7,73.0,725361,277.32
215,Atonement,2007,123,7.8,85.0,255963,50.93
216,Memories of Murder,2003,132,8.1,82.0,146433,0.01
217,Gifted,2017,101,7.6,60.0,102964,24.8
218,Your Name.,2016,106,8.4,79.0,206556,5.02
219,The Terminator,1984,107,8.0,84.0,806050,38.4
220,Silver Linings Playbook,2012,122,7.7,81.0,669393,132.09
221,American History X,1998,119,8.5,62.0,1047377,6.72
222,Indiana Jones and the Last Crusade,1989,127,8.2,65.0,700625,197.17
223,Portrait of a Lady on Fire,2019,122,8.1,95.0,70123,3.76
224,Ocean's Eleven,2001,116,7.7,74.0,524066,183.42
225,Die Hard,1988,132,8.2,72.0,802739,83.01
226,The Imitation Game,2014,114,8.0,73.0,697185,91.13
227,Full Metal Jacket,1987,116,8.3,76.0,684654,46.36
228,Marriage Story,2019,137,7.9,94.0,257368,2.0
229,Inside Out,2015,95,8.1,94.0,630674,356.46
230,The Sound of Music,1965,172,8.0,63.0,210152,163.21
231,Scent of a Woman,1992,156,8.0,59.0,269639,63.9
232,The Sixth Sense,1999,107,8.1,64.0,921947,293.51
233,28 Days Later...,2002,113,7.6,73.0,381282,45.06
234,The Exorcist,1973,122,8.0,81.0,366032,232.91
235,The Perks of Being a Wallflower,2012,103,8.0,67.0,469654,17.74
236,Rocky,1976,120,8.1,70.0,526838,117.24
237,Minority Report,2002,145,7.6,80.0,514234,132.07
238,Edge of Tomorrow,2014,113,7.9,71.0,609165,100.21
239,The Hobbit: The Desolation of Smaug,2013,161,7.8,66.0,609119,258.37
240,Big Fish,2003,125,8.0,58.0,419155,66.26
241,V for Vendetta,2005,132,8.2,62.0,1046090,70.51
242,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87.0,588415,42.34
243,Pan's Labyrinth,2006,118,8.2,98.0,626370,37.63
244,Once Upon a Time in America,1984,229,8.4,,317275,5.32
245,Stagecoach,1939,96,7.8,93.0,44576,
246,Wind River,2017,107,7.7,73.0,212809,33.8
247,Willy Wonka & the Chocolate Factory,1971,100,7.8,67.0,181098,4.0
248,Finding Nemo,2003,100,8.1,90.0,962407,380.84
249,My Fair Lady,1964,170,7.8,95.0,88051,72.0
250,A Streetcar Named Desire,1951,122,8.0,97.0,100386,8.0
251,Dead Poets Society,1989,128,8.1,79.0,435474,95.86
252,Unforgiven,1992,130,8.2,85.0,381442,101.16
253,Star Trek,2009,127,7.9,82.0,580655,257.73
254,Crash,2004,112,7.7,66.0,422570,54.58
255,Midnight Cowboy,1969,113,7.8,79.0,102553,44.79
256,Toy Story,1995,81,8.3,95.0,902073,191.8
257,The Last of the Mohicans,1992,112,7.7,76.0,153626,75.51
258,The Curious Case of Benjamin Button,2008,166,7.8,70.0,598591,127.51
259,The Deer Hunter,1978,183,8.1,86.0,316028,48.98
260,Sin City,2005,124,8.0,74.0,742013,74.1
261,Mississippi Burning,1988,128,7.8,65.0,90083,34.6
262,Skyfall,2012,143,7.8,81.0,636029,304.36
263,Cast Away,2000,143,7.8,73.0,534574,233.63
264,Manchester by the Sea,2016,137,7.8,96.0,252701,47.7
265,Children of Men,2006,109,7.9,84.0,470071,35.55
266,True Grit,2010,110,7.6,80.0,316392,171.24
267,"Monsters, Inc.",2001,92,8.1,79.0,828172,289.92
268,Tangled,2010,100,7.7,71.0,411902,200.82
269,Gone with the Wind,1939,238,8.1,97.0,293981,198.68
270,Amadeus,1984,160,8.3,88.0,374123,51.97
271,Sherlock Holmes,2009,128,7.6,57.0,589367,209.03
272,The Invisible Guest,2016,106,8.1,,150835,
273,Rain Man,1988,133,8.0,65.0,479336,178.8
274,Amélie,2001,122,8.3,69.0,712262,33.23
275,X-Men: First Class,2011,131,7.7,65.0,652166,146.41
276,A Few Good Men,1992,138,7.7,62.0,239151,141.34
277,Up,2009,96,8.2,88.0,950664,293.0
278,The Blind Side,2009,129,7.6,53.0,298117,255.96
279,Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80.0,869756,936.66
280,Howl's Moving Castle,2004,119,8.2,80.0,343437,4.71
281,The Count of Monte Cristo,2002,131,7.8,61.0,130496,54.23
282,Kick-Ass,2010,117,7.6,66.0,529819,48.07
283,Mystic River,2003,138,7.9,84.0,424460,90.14
284,The Peanut Butter Falcon,2019,97,7.6,70.0,70647,13.12
285,Office Space,1999,89,7.7,68.0,245345,10.82
286,Casablanca,1942,102,8.5,100.0,529354,1.02
287,E.T. the Extra-Terrestrial,1982,115,7.8,91.0,377427,435.11
288,Slumdog Millionaire,2008,120,8.0,84.0,806581,141.32
289,Toy Story 4,2019,100,7.7,84.0,211128,434.04
290,Dallas Buyers Club,2013,117,8.0,80.0,449707,27.3
291,Million Dollar Baby,2004,132,8.1,86.0,644360,100.49
292,X-Men: Days of Future Past,2014,132,7.9,75.0,667551,233.92
293,Warrior,2011,140,8.2,71.0,441443,13.66
294,Shaun of the Dead,2004,99,7.9,76.0,518550,13.54
295,The Little Mermaid,1989,83,7.6,88.0,241114,111.54
296,Fear and Loathing in Las Vegas,1998,118,7.6,41.0,262879,10.68
297,What's Eating Gilbert Grape,1993,118,7.8,73.0,218366,9.17
298,WALL·E,2008,98,8.4,95.0,1016142,223.81
299,Inside Man,2006,129,7.6,76.0,345914,88.51
300,Life of Pi,2012,127,7.9,79.0,587941,124.99
301,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,1175846,290.48
302,Rear Window,1954,112,8.4,100.0,450801,36.76
303,In the Name of the Father,1993,133,8.1,84.0,160774,25.01
304,The Last Samurai,2003,154,7.7,55.0,404886,111.11
305,Home Alone,1990,103,7.6,63.0,495321,285.76
306,Little Miss Sunshine,2006,101,7.8,80.0,445456,59.89
307,Straight Outta Compton,2015,147,7.8,72.0,182724,161.2
308,The Thing,1982,109,8.1,57.0,377400,13.78
309,Lost in Translation,2003,102,7.7,89.0,421880,44.59
310,Remember the Titans,2000,113,7.8,48.0,200492,115.65
311,Black Hawk Down,2001,144,7.7,74.0,368368,108.64
312,Airplane!,1980,88,7.7,78.0,218234,83.4
313,Carlito's Way,1993,144,7.9,65.0,203908,36.95
314,Capernaum,2018,126,8.4,75.0,67952,1.66
315,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66.0,542747,3.9
316,The Thin Red Line,1998,170,7.6,78.0,175206,36.4
317,The King's Speech,2010,118,8.0,88.0,646853,138.8
318,Back to the Future Part II,1989,108,7.8,57.0,488714,118.5
319,The Lives of Others,2006,137,8.4,89.0,364481,11.29
320,The Celebration,1998,105,8.0,82.0,79790,1.65
321,Sense and Sensibility,1995,136,7.6,84.0,104563,43.18
322,Blue Is the Warmest Colour,2013,180,7.7,89.0,140868,2.2
323,The Theory of Everything,2014,123,7.7,72.0,411944,35.89
324,Vertigo,1958,128,8.3,100.0,370374,3.2
325,Blood Simple,1984,99,7.6,83.0,89478,2.15
326,Downfall,2004,156,8.2,82.0,335453,5.51
327,What We Do in the Shadows,2014,86,7.7,76.0,161070,3.33
328,Primal Fear,1996,129,7.7,47.0,193342,56.12
329,Big Hero 6,2014,102,7.8,74.0,417287,222.53
330,The Fugitive,1993,130,7.8,87.0,271501,183.88
331,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58.0,963728,309.13
332,Dark Waters,2019,126,7.6,73.0,66965,
333,Seven Samurai,1954,207,8.6,98.0,320604,0.27
334,Deliverance,1972,109,7.7,80.0,100028,7.06
335,The Great Escape,1963,172,8.2,86.0,227907,12.1
336,Once Upon a Time in the West,1968,165,8.5,80.0,307176,5.32
337,Chinatown,1974,130,8.1,92.0,299513,8.49
338,Halloween,1978,91,7.7,87.0,236038,47.0
339,In the Mood for Love,2000,98,8.1,85.0,129136,2.73
340,Sling Blade,1996,135,8.0,84.0,88032,24.48
341,Gravity,2013,91,7.7,96.0,777316,274.09
342,The Pursuit of Happyness,2006,117,8.0,64.0,457270,163.57
343,Kill Bill: Vol. 2,2004,137,8.0,83.0,693545,66.21
344,3 Idiots,2009,170,8.4,67.0,351884,6.53
345,The Warriors,1979,92,7.6,65.0,95254,22.49
346,The Remains of the Day,1993,134,7.8,86.0,67751,22.95
347,Mulan,1998,88,7.6,71.0,261277,120.62
348,The Bourne Identity,2002,119,7.9,68.0,514315,121.66
349,12 Monkeys,1995,129,8.0,74.0,584817,57.14
350,Blue Velvet,1986,120,7.7,76.0,184085,8.55
351,Edward Scissorhands,1990,105,7.9,74.0,452319,56.36
352,Incendies,2010,131,8.3,80.0,154637,6.86
353,Taken,2008,90,7.8,51.0,569704,145.0
354,Do the Right Thing,1989,120,8.0,93.0,92062,27.55
355,Apollo 13,1995,140,7.6,77.0,273950,173.84
356,Dog Day Afternoon,1975,125,8.0,86.0,238971,50.0
357,Princess Mononoke,1997,134,8.4,76.0,351255,2.38
358,Creed,2015,133,7.6,82.0,251198,109.77
359,Ordinary People,1980,124,7.7,86.0,47895,54.8
360,Magnolia,1999,188,8.0,77.0,292705,22.46
361,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,456404,0.28
362,Fantastic Mr. Fox,2009,87,7.9,83.0,204966,21.0
363,Hunt for the Wilderpeople,2016,101,7.9,81.0,115161,5.2
364,Coraline,2009,100,7.7,80.0,201106,75.29
365,The Graduate,1967,106,8.0,83.0,256371,104.95
366,Blood Diamond,2006,143,8.0,64.0,506145,57.37
367,"O Brother, Where Art Thou?",2000,107,7.7,69.0,291801,45.51
368,Toy Story 3,2010,103,8.2,92.0,767904,415.0
369,Grave of the Fireflies,1988,89,8.5,94.0,241859,
370,Hell or High Water,2016,102,7.6,88.0,207901,26.86
371,Incredibles 2,2018,118,7.6,80.0,257011,608.58
372,The Ten Commandments,1956,220,7.9,,65506,93.74
373,Gone Baby Gone,2007,114,7.6,72.0,253927,20.3
374,As Good as It Gets,1997,139,7.7,67.0,279155,148.48
375,Midnight in Paris,2011,94,7.7,81.0,393296,56.82
376,How to Train Your Dragon,2010,98,8.1,75.0,676858,217.58
377,The Elephant Man,1980,124,8.1,78.0,223667,
378,Serenity,2005,119,7.8,74.0,285358,25.51
379,Lawrence of Arabia,1962,228,8.3,100.0,272044,44.82
380,Mr. Nobody,2009,141,7.8,63.0,219381,0.0
381,Fried Green Tomatoes,1991,130,7.7,64.0,68038,82.42
382,500 Days of Summer,2009,95,7.7,76.0,477628,32.39
383,Zombieland,2009,88,7.6,73.0,526236,75.59
384,District 9,2009,112,7.9,81.0,643467,115.65
385,Falling Down,1993,113,7.6,56.0,174734,40.9
386,Ben-Hur,1959,212,8.1,90.0,222551,74.7
387,Gran Torino,2008,116,8.1,72.0,728638,148.1
388,Isle of Dogs,2018,101,7.9,82.0,143843,32.02
389,The Untouchables,1987,119,7.9,79.0,286395,76.27
390,Road to Perdition,2002,117,7.7,72.0,250057,104.45
391,Beauty and the Beast,1991,84,8.0,95.0,421014,218.97
392,Papillon,1973,151,8.0,58.0,123172,53.27
393,Star Trek Into Darkness,2013,132,7.7,72.0,466016,228.78
394,Boyz n the Hood,1991,112,7.8,76.0,128374,57.5
395,Who Framed Roger Rabbit,1988,104,7.7,83.0,184374,156.45
396,Moon,2009,97,7.9,67.0,338889,5.01
397,Despicable Me,2010,95,7.6,72.0,506709,251.51
398,Bridge of Spies,2015,142,7.6,81.0,292084,72.31
399,The Royal Tenenbaums,2001,110,7.6,76.0,270762,52.36
400,I Saw the Devil,2010,144,7.8,67.0,114289,0.13
401,Dark City,1998,100,7.6,66.0,189774,14.38
402,This Is England,2006,101,7.7,86.0,116588,0.33
403,The Treasure of the Sierra Madre,1948,126,8.2,98.0,115957,5.01
404,A Silent Voice: The Movie,2016,130,8.1,78.0,53141,
405,Before Sunrise,1995,101,8.1,77.0,277995,5.54
406,First Blood,1982,93,7.7,61.0,230806,47.21
407,Misery,1990,107,7.8,75.0,187897,61.28
408,Monty Python and the Holy Grail,1975,91,8.2,91.0,506562,1.23
409,The Blues Brothers,1980,133,7.9,60.0,185660,57.23
410,The Fault in Our Stars,2014,126,7.7,69.0,348658,124.87
411,The Others,2001,104,7.6,74.0,342155,96.52
412,Young Frankenstein,1974,106,8.0,80.0,145100,86.3
413,Brazil,1985,132,7.9,84.0,189684,9.93
414,The Sting,1973,129,8.3,83.0,244814,159.6
415,The Fall,2006,117,7.9,64.0,108103,2.28
416,Being John Malkovich,1999,113,7.7,90.0,316390,22.86
417,"Blood In, Blood Out",1993,180,8.0,47.0,29192,4.5
418,Man on Fire,2004,146,7.7,47.0,333411,77.91
419,Gattaca,1997,106,7.8,64.0,284198,12.34
420,American Gangster,2007,157,7.8,76.0,397997,130.16
421,Donnie Brasco,1997,127,7.7,76.0,284403,41.91
422,Y Tu Mamá También,2001,106,7.6,88.0,117087,13.62
423,Captain Phillips,2013,134,7.8,82.0,427173,107.1
424,"Crouching Tiger, Hidden Dragon",2000,120,7.8,94.0,255971,128.08
425,Aladdin,1992,90,8.0,86.0,378414,217.35
426,Breakfast at Tiffany's,1961,115,7.6,76.0,169177,
427,Miller's Crossing,1990,115,7.7,66.0,127301,5.08
428,Searching,2018,102,7.6,71.0,144723,26.02
429,Strangers on a Train,1951,101,7.9,88.0,124560,7.63
430,Blow,2001,124,7.6,52.0,243553,52.99
431,JFK,1991,189,8.0,72.0,144199,70.41
432,It's a Wonderful Life,1946,130,8.6,89.0,411582,
433,To Kill a Mockingbird,1962,129,8.2,88.0,297100,
434,Enemy at the Gates,2001,131,7.6,53.0,246491,51.4
435,Lethal Weapon,1987,109,7.6,68.0,239781,65.21
436,Cool Hand Luke,1967,127,8.1,92.0,164403,16.22
437,Rosemary's Baby,1968,137,8.0,96.0,197487,
438,Cinema Paradiso,1988,155,8.5,80.0,235626,11.99
439,Planet of the Apes,1968,112,8.0,79.0,166841,33.4
440,The Color Purple,1985,154,7.8,78.0,79788,98.47
441,The Butterfly Effect,2004,113,7.6,30.0,456028,57.94
442,Roma,2018,135,7.7,96.0,143818,
443,Blazing Saddles,1974,93,7.7,73.0,127636,119.5
444,Some Like It Hot,1959,121,8.2,98.0,247503,25.0
445,Only the Brave,2017,134,7.6,72.0,60274,18.34
446,Wreck-It Ralph,2012,101,7.7,72.0,385576,189.42
447,The Birds,1963,119,7.7,90.0,174043,11.4
448,The Florida Project,2017,111,7.6,92.0,98237,5.9
449,When Harry Met Sally...,1989,95,7.6,76.0,198826,92.82
450,The Machinist,2004,101,7.7,61.0,362908,1.08
451,The Boondock Saints,1999,108,7.8,44.0,228981,0.03
452,Close Encounters of the Third Kind,1977,138,7.6,90.0,187463,132.09
453,Boyhood,2014,165,7.9,100.0,338486,25.38
